id,name,status,onlinetext,id_atividade,id_aluno,nota_final,status_rubric,desc_criterio,nota_criterio,decricao_select
14,Tema-2,submitted,"<p><h4><b>Orgulho Machadiano</b></h4><div>Brás Cubas, o defunto-autor de Machado de Assis, diz em suas “Memórias Póstumas” que não teve filhos e não transmitiu a nenhuma criatura o legado da nossa miséria. Talvez hoje ele percebesse acertada sua decisão: a postura de muitos brasileiros frente a intolerância religiosa é uma das faces mais perversas de uma sociedade em desenvolvimento. Com isso, surge a problemática do preconceito religioso que persiste intrinsecamente ligado à realidade do país, seja pela insuficiência de leis, seja pela lenta mudança de mentalidade social.</div><div><br></div><div>É indubitável que a questão constitucional e sua aplicação estejam entre as causas do problema. Conforme Aristóteles, a poética deve ser utilizada de modo que, por meio da jsutiça, o equilíbrio seja alcançado na sociedade. De maneira análoga, é possível perceber que, no Brasil, a perseguição religiosa rompe essa harmonia; haja vista que, embora esteja previsto na Constituição o princípio da isonomia, no qual todos devem ser tratados igualmente, muitos cidadãos se utilizam da inferioridade religiosa para externar ofensas e excluir socialmente pessoas de religiões diferentes.</div><div><br></div><div>Segundo pesquisas, a religião afro-brasileira é a principal vítima de discriminação, destacando-se o preconceito religioso como o principal impulsionador do problema. De acordo com Durkheim, o fato social é a maneira coletiva de agr e de pensar. Ao seguir essa linha de pensamento, observa-se que a preparação do preconceito religioso se encaixa na teoria do sociólogo, uma vez que se uma criança vive em uma família com esse comportamento, tende a adotá-lo também por conta da vivência em grupo. Assim, a continuação do pensamento da inferioridade religiosa, transmitido de geração a geração, funciona como base forte dessa forma de preconceito, perpetuando o problema no Brasil.</div><div>Infere-se, portanto, que a&nbsp;<spam>intolerância religiosa</spam>&nbsp;é um mal para a sociedade brasileira.&nbsp;</div><div><br></div><div>Sendo assim, cabe ao Governo Federal construir delegacias especializadas em crimes de ódio contra religião, a fim de atenuar a prática do preconceito na sociedade, além de aumentar a pena para quem o praticar. Ainda cabe à escola criar palestras sobre as religiões e suas histórias, visando a informar crianças e jovens sobre as diferenças religiosas no país, diminuindo, assim, o preconceito religioso. Ademais, a sociedade deve se mobilizar em redes sociais, com o intuito de conscientizar a população sobre os males da intolerância religiosa. Assim, poder-se-á transformar o Brasil em um país desenvolvido socialmente, e criar um legado de que Brás Cubas pudesse se orgulhar.”</div><br></p>",14,8,85.00000,0,"Primeiro critério:""Demonstrar um bom nível de escrita formal da língua portuguesa. Nesse aspecto serão avaliados os seguintes itens""",20.00000,"Apresenta domínio excepcional da modalidade conforme a gramática da Língua Portuguesa Nessa categoria o aluno demostra conhecimento excepcional na Língua Portuguesa apresentando uma baixa incidência de usos inadequados do ponto de vista da gramática normativa, um quantitativo de no máximo 2 inadequações.
"
14,Tema-2,submitted,"<p><h4><b>Orgulho Machadiano</b></h4><div>Brás Cubas, o defunto-autor de Machado de Assis, diz em suas “Memórias Póstumas” que não teve filhos e não transmitiu a nenhuma criatura o legado da nossa miséria. Talvez hoje ele percebesse acertada sua decisão: a postura de muitos brasileiros frente a intolerância religiosa é uma das faces mais perversas de uma sociedade em desenvolvimento. Com isso, surge a problemática do preconceito religioso que persiste intrinsecamente ligado à realidade do país, seja pela insuficiência de leis, seja pela lenta mudança de mentalidade social.</div><div><br></div><div>É indubitável que a questão constitucional e sua aplicação estejam entre as causas do problema. Conforme Aristóteles, a poética deve ser utilizada de modo que, por meio da jsutiça, o equilíbrio seja alcançado na sociedade. De maneira análoga, é possível perceber que, no Brasil, a perseguição religiosa rompe essa harmonia; haja vista que, embora esteja previsto na Constituição o princípio da isonomia, no qual todos devem ser tratados igualmente, muitos cidadãos se utilizam da inferioridade religiosa para externar ofensas e excluir socialmente pessoas de religiões diferentes.</div><div><br></div><div>Segundo pesquisas, a religião afro-brasileira é a principal vítima de discriminação, destacando-se o preconceito religioso como o principal impulsionador do problema. De acordo com Durkheim, o fato social é a maneira coletiva de agr e de pensar. Ao seguir essa linha de pensamento, observa-se que a preparação do preconceito religioso se encaixa na teoria do sociólogo, uma vez que se uma criança vive em uma família com esse comportamento, tende a adotá-lo também por conta da vivência em grupo. Assim, a continuação do pensamento da inferioridade religiosa, transmitido de geração a geração, funciona como base forte dessa forma de preconceito, perpetuando o problema no Brasil.</div><div>Infere-se, portanto, que a&nbsp;<spam>intolerância religiosa</spam>&nbsp;é um mal para a sociedade brasileira.&nbsp;</div><div><br></div><div>Sendo assim, cabe ao Governo Federal construir delegacias especializadas em crimes de ódio contra religião, a fim de atenuar a prática do preconceito na sociedade, além de aumentar a pena para quem o praticar. Ainda cabe à escola criar palestras sobre as religiões e suas histórias, visando a informar crianças e jovens sobre as diferenças religiosas no país, diminuindo, assim, o preconceito religioso. Ademais, a sociedade deve se mobilizar em redes sociais, com o intuito de conscientizar a população sobre os males da intolerância religiosa. Assim, poder-se-á transformar o Brasil em um país desenvolvido socialmente, e criar um legado de que Brás Cubas pudesse se orgulhar.”</div><br></p>",14,8,85.00000,0,"Segundo critério: ""Apresenta domínio precário do texto dissertativo-argumentativo apresentando apenas duas características do texto dissertativo – argumentativo, introdução, desenvolvimento ou conclusão. Também o texto apresenta, na maior parte das linhas, apenas orações além de não conter um repertório técnico – científico e os argumentos serem embasados no senso comum""",15.00000,"Apresenta estratégias argumentativas baseada em um repertório técnico científico além das três partes de um texto dissertativo – argumentativo, em fase incipiente, ou seja, não desenvolve os mesmos e a maior parte das linhas apresenta períodos simples."" ""Apresenta estratégias argumentativas baseada em um repertório técnico científico além das três partes de um texto dissertativo – argumentativo, em fase incipiente, ou seja, não desenvolve os mesmos e a maior parte das linhas apresenta períodos simples."
14,Tema-2,submitted,"<p><h4><b>Orgulho Machadiano</b></h4><div>Brás Cubas, o defunto-autor de Machado de Assis, diz em suas “Memórias Póstumas” que não teve filhos e não transmitiu a nenhuma criatura o legado da nossa miséria. Talvez hoje ele percebesse acertada sua decisão: a postura de muitos brasileiros frente a intolerância religiosa é uma das faces mais perversas de uma sociedade em desenvolvimento. Com isso, surge a problemática do preconceito religioso que persiste intrinsecamente ligado à realidade do país, seja pela insuficiência de leis, seja pela lenta mudança de mentalidade social.</div><div><br></div><div>É indubitável que a questão constitucional e sua aplicação estejam entre as causas do problema. Conforme Aristóteles, a poética deve ser utilizada de modo que, por meio da jsutiça, o equilíbrio seja alcançado na sociedade. De maneira análoga, é possível perceber que, no Brasil, a perseguição religiosa rompe essa harmonia; haja vista que, embora esteja previsto na Constituição o princípio da isonomia, no qual todos devem ser tratados igualmente, muitos cidadãos se utilizam da inferioridade religiosa para externar ofensas e excluir socialmente pessoas de religiões diferentes.</div><div><br></div><div>Segundo pesquisas, a religião afro-brasileira é a principal vítima de discriminação, destacando-se o preconceito religioso como o principal impulsionador do problema. De acordo com Durkheim, o fato social é a maneira coletiva de agr e de pensar. Ao seguir essa linha de pensamento, observa-se que a preparação do preconceito religioso se encaixa na teoria do sociólogo, uma vez que se uma criança vive em uma família com esse comportamento, tende a adotá-lo também por conta da vivência em grupo. Assim, a continuação do pensamento da inferioridade religiosa, transmitido de geração a geração, funciona como base forte dessa forma de preconceito, perpetuando o problema no Brasil.</div><div>Infere-se, portanto, que a&nbsp;<spam>intolerância religiosa</spam>&nbsp;é um mal para a sociedade brasileira.&nbsp;</div><div><br></div><div>Sendo assim, cabe ao Governo Federal construir delegacias especializadas em crimes de ódio contra religião, a fim de atenuar a prática do preconceito na sociedade, além de aumentar a pena para quem o praticar. Ainda cabe à escola criar palestras sobre as religiões e suas histórias, visando a informar crianças e jovens sobre as diferenças religiosas no país, diminuindo, assim, o preconceito religioso. Ademais, a sociedade deve se mobilizar em redes sociais, com o intuito de conscientizar a população sobre os males da intolerância religiosa. Assim, poder-se-á transformar o Brasil em um país desenvolvido socialmente, e criar um legado de que Brás Cubas pudesse se orgulhar.”</div><br></p>",14,8,85.00000,0,"Terceiro critério: ""Definir, argumentar, hierarquizar e organizar informações com o intuito de responder o problema de pesquisa apresentado""",20.00000,Apresenta um plano de texto e apenas uma ou duas linhas não estão hierarquizadas
14,Tema-2,submitted,"<p><h4><b>Orgulho Machadiano</b></h4><div>Brás Cubas, o defunto-autor de Machado de Assis, diz em suas “Memórias Póstumas” que não teve filhos e não transmitiu a nenhuma criatura o legado da nossa miséria. Talvez hoje ele percebesse acertada sua decisão: a postura de muitos brasileiros frente a intolerância religiosa é uma das faces mais perversas de uma sociedade em desenvolvimento. Com isso, surge a problemática do preconceito religioso que persiste intrinsecamente ligado à realidade do país, seja pela insuficiência de leis, seja pela lenta mudança de mentalidade social.</div><div><br></div><div>É indubitável que a questão constitucional e sua aplicação estejam entre as causas do problema. Conforme Aristóteles, a poética deve ser utilizada de modo que, por meio da jsutiça, o equilíbrio seja alcançado na sociedade. De maneira análoga, é possível perceber que, no Brasil, a perseguição religiosa rompe essa harmonia; haja vista que, embora esteja previsto na Constituição o princípio da isonomia, no qual todos devem ser tratados igualmente, muitos cidadãos se utilizam da inferioridade religiosa para externar ofensas e excluir socialmente pessoas de religiões diferentes.</div><div><br></div><div>Segundo pesquisas, a religião afro-brasileira é a principal vítima de discriminação, destacando-se o preconceito religioso como o principal impulsionador do problema. De acordo com Durkheim, o fato social é a maneira coletiva de agr e de pensar. Ao seguir essa linha de pensamento, observa-se que a preparação do preconceito religioso se encaixa na teoria do sociólogo, uma vez que se uma criança vive em uma família com esse comportamento, tende a adotá-lo também por conta da vivência em grupo. Assim, a continuação do pensamento da inferioridade religiosa, transmitido de geração a geração, funciona como base forte dessa forma de preconceito, perpetuando o problema no Brasil.</div><div>Infere-se, portanto, que a&nbsp;<spam>intolerância religiosa</spam>&nbsp;é um mal para a sociedade brasileira.&nbsp;</div><div><br></div><div>Sendo assim, cabe ao Governo Federal construir delegacias especializadas em crimes de ódio contra religião, a fim de atenuar a prática do preconceito na sociedade, além de aumentar a pena para quem o praticar. Ainda cabe à escola criar palestras sobre as religiões e suas histórias, visando a informar crianças e jovens sobre as diferenças religiosas no país, diminuindo, assim, o preconceito religioso. Ademais, a sociedade deve se mobilizar em redes sociais, com o intuito de conscientizar a população sobre os males da intolerância religiosa. Assim, poder-se-á transformar o Brasil em um país desenvolvido socialmente, e criar um legado de que Brás Cubas pudesse se orgulhar.”</div><br></p>",14,8,85.00000,0,"Quarto critério:  ""Elementos de coesão""",15.00000,Apresenta 3 a 5 elementos de coesão diversificados com uma inadequação.
14,Tema-2,submitted,"<p><h4><b>Orgulho Machadiano</b></h4><div>Brás Cubas, o defunto-autor de Machado de Assis, diz em suas “Memórias Póstumas” que não teve filhos e não transmitiu a nenhuma criatura o legado da nossa miséria. Talvez hoje ele percebesse acertada sua decisão: a postura de muitos brasileiros frente a intolerância religiosa é uma das faces mais perversas de uma sociedade em desenvolvimento. Com isso, surge a problemática do preconceito religioso que persiste intrinsecamente ligado à realidade do país, seja pela insuficiência de leis, seja pela lenta mudança de mentalidade social.</div><div><br></div><div>É indubitável que a questão constitucional e sua aplicação estejam entre as causas do problema. Conforme Aristóteles, a poética deve ser utilizada de modo que, por meio da jsutiça, o equilíbrio seja alcançado na sociedade. De maneira análoga, é possível perceber que, no Brasil, a perseguição religiosa rompe essa harmonia; haja vista que, embora esteja previsto na Constituição o princípio da isonomia, no qual todos devem ser tratados igualmente, muitos cidadãos se utilizam da inferioridade religiosa para externar ofensas e excluir socialmente pessoas de religiões diferentes.</div><div><br></div><div>Segundo pesquisas, a religião afro-brasileira é a principal vítima de discriminação, destacando-se o preconceito religioso como o principal impulsionador do problema. De acordo com Durkheim, o fato social é a maneira coletiva de agr e de pensar. Ao seguir essa linha de pensamento, observa-se que a preparação do preconceito religioso se encaixa na teoria do sociólogo, uma vez que se uma criança vive em uma família com esse comportamento, tende a adotá-lo também por conta da vivência em grupo. Assim, a continuação do pensamento da inferioridade religiosa, transmitido de geração a geração, funciona como base forte dessa forma de preconceito, perpetuando o problema no Brasil.</div><div>Infere-se, portanto, que a&nbsp;<spam>intolerância religiosa</spam>&nbsp;é um mal para a sociedade brasileira.&nbsp;</div><div><br></div><div>Sendo assim, cabe ao Governo Federal construir delegacias especializadas em crimes de ódio contra religião, a fim de atenuar a prática do preconceito na sociedade, além de aumentar a pena para quem o praticar. Ainda cabe à escola criar palestras sobre as religiões e suas histórias, visando a informar crianças e jovens sobre as diferenças religiosas no país, diminuindo, assim, o preconceito religioso. Ademais, a sociedade deve se mobilizar em redes sociais, com o intuito de conscientizar a população sobre os males da intolerância religiosa. Assim, poder-se-á transformar o Brasil em um país desenvolvido socialmente, e criar um legado de que Brás Cubas pudesse se orgulhar.”</div><br></p>",14,8,85.00000,0,"Quinto critério: ""Resultado da Proposta de Solução""",15.00000,"Apresenta o agente, ação e os resultados que a ação irão trazer de benefício sem particularizar cada um desses."
15,Tema-3,submitted,<p>AS longas tranças do rei careca</p>,15,8,85.00000,0,"Primeiro critério:""Demonstrar um bom nível de escrita formal da língua portuguesa. Nesse aspecto serão avaliados os seguintes itens""",20.00000,"Apresenta domínio excepcional da modalidade conforme a gramática da Língua Portuguesa Nessa categoria o aluno demostra conhecimento excepcional na Língua Portuguesa apresentando uma baixa incidência de usos inadequados do ponto de vista da gramática normativa, um quantitativo entre 1 e 2 inadequações.
"
15,Tema-3,submitted,<p>AS longas tranças do rei careca</p>,15,8,85.00000,0,"Segundo critério: ""Apresenta domínio precário do texto dissertativo-argumentativo apresentando apenas duas características do texto dissertativo – argumentativo, introdução, desenvolvimento ou conclusão. Também o texto apresenta, na maior parte das linhas, apenas orações além de não conter um repertório técnico – científico e os argumentos serem embasados no senso comum""",15.00000,"Apresenta estratégias argumentativas baseada em um repertório técnico científico além das três partes de um texto dissertativo – argumentativo, em fase incipiente, ou seja, não desenvolve os mesmos e a maior parte das linhas apresenta períodos simples."" ""Apresenta estratégias argumentativas baseada em um repertório técnico científico além das três partes de um texto dissertativo – argumentativo, em fase incipiente, ou seja, não desenvolve os mesmos e a maior parte das linhas apresenta períodos simples."
15,Tema-3,submitted,<p>AS longas tranças do rei careca</p>,15,8,85.00000,0,"Terceiro critério: ""Definir, argumentar, hierarquizar e organizar informações com o intuito de responder o problema de pesquisa apresentado""",15.00000,"Apresenta informações pouco organizadas, tais que metade do texto não está hierarquizado."
15,Tema-3,submitted,<p>AS longas tranças do rei careca</p>,15,8,85.00000,0,"Quarto critério:  ""Elementos de coesão""",20.00000,Apresenta 3 a 5 elementos de coesão diversificados sem inadequações.
15,Tema-3,submitted,<p>AS longas tranças do rei careca</p>,15,8,85.00000,0,"Quinto critério: ""Resultado da Proposta de Solução""",15.00000,"Apresenta o agente, ação e os resultados que a ação irão trazer de benefício sem particularizar cada um desses."
